vehicle_id,date_discovered
226+225,2024-11-18
550,2024-11-18
545,2024-11-18
522,2024-11-18
1313,2024-11-19
1270,2024-11-19
1310,2024-11-19
1935,2024-11-19
536,2024-11-20
555,2024-11-20
436,2024-11-20
1770,2024-11-21
518,2024-11-21
1861,2024-11-21
1474,2024-11-21
1315,2024-11-22
1006,2024-11-22
206+205,2024-11-22
1265,2024-11-24
1318,2024-11-25
512,2024-11-25
507,2024-11-25
1460,2024-11-25
525,2024-11-26
1913,2024-11-26
1470,2024-11-28
530,2024-11-28
1257,2024-11-29
1506,2024-11-29
1027,2024-11-29
1472,2024-11-29
1660,2024-11-30
505,2024-12-01
928,2024-12-01
1923,2024-12-02
290+291,2024-12-04
1903,2024-12-04
1312,2024-12-04
410,2024-12-04
1262,2024-12-04
1939,2024-12-04
1663,2024-12-04
1260,2024-12-04
336+337,2024-12-05
403,2024-12-05
414,2024-12-06
128+129,2024-12-06
264+263,2024-12-06
399,2024-12-06
443,2024-12-06
553,2024-12-09
1320,2024-12-10
447,2024-12-10
401,2024-12-10
501,2024-12-12
1462,2024-12-12
453,2024-12-12
626,2024-12-13
1029,2024-12-13
613,2024-12-13
1901,2024-12-13
1504,2024-12-13
1012,2024-12-16
1480,2024-12-16
506,2024-12-16
1766,2024-12-16
1759,2024-12-16
500,2024-12-18
